0,"[[835.5648611386619, 634.3462438583374], [842.6286560694375, 628.6952080726624], [842.6286560694375, 627.2824491262436], [844.041415055593, 580.6614038944244], [835.5648611386619, 601.8527880907059], [805.8969224294028, 552.4062249660492], [787.531055609385, 587.7251986265182], [776.2289837201438, 610.3293417692184], [770.5779477755227, 693.6821196079254], [776.2289837201438, 676.7290122509003], [760.6886348724365, 775.6221385002136], [666.0337828000386, 508.61069762706757], [619.4127362569172, 517.0872513055801], [699.9399984677633, 608.9165828227997], [629.3020491600037, 641.4100385904312], [599.6341104507446, 666.8396996259689], [510.63029432296753, 695.0948785543442]]"
1,"[[834.224535624186, 633.9954061508179], [841.3179755210876, 628.3206543922424], [841.3179755210876, 626.9019664525986], [844.1553514798484, 580.0852644443512], [835.6432236035666, 601.3655835390091], [807.2694640159607, 550.2928177118301], [787.4078323046365, 587.1787041425705], [778.8957044283547, 618.3898388147354], [770.383576552073, 693.58029961586], [777.4770164489746, 673.718668460846], [760.4527606964111, 775.8642001152039], [663.9819780985515, 502.0574277639389], [618.5839627583821, 514.8256192207336], [699.4491775830587, 608.4590232372284], [629.9334665934246, 641.0888458490372], [600.1410190264385, 666.6252287626266], [512.1823643048605, 696.4176754951477]]"
2,"[[834.4882939656575, 633.7329263687134], [841.5738549232483, 628.0644774436951], [841.5738549232483, 626.6473652124405], [845.8251914978027, 578.4655493497849], [835.9054061571758, 601.1393450498581], [806.1460501352947, 550.1233047246933], [786.3064794540405, 588.3853349685669], [776.3866941134136, 611.0591306686401], [770.7182453473408, 694.6687523126602], [777.8038063049316, 669.1607321500778], [760.7984600067139, 774.0270372629166], [663.0177187919617, 506.1928255558014], [617.670128663381, 517.529723405838], [699.8626357714336, 608.224906206131], [630.4241383870443, 640.8184875249863], [600.6647823651632, 664.9093954563141], [512.803826491038, 694.6687523126602]]"
3,"[[834.6942977905273, 633.7189140319824], [841.7518048286438, 629.4844098091125], [841.7518048286438, 626.661406993866], [844.5748076438904, 578.6703591346741], [836.1057991981506, 601.2543816566467], [807.8757710456848, 549.028829574585], [786.7032499313354, 588.5508689880371], [775.4112386703491, 611.1348915100098], [769.765233039856, 693.0019731521606], [776.8227400779724, 669.0064492225647], [759.8847231864929, 774.8690547943115], [663.9026274681091, 502.44928312301636], [618.7345824241638, 515.152795791626], [699.1901626586914, 608.3118886947632], [630.0265936851501, 640.7764210700989], [600.385064125061, 664.7719449996948], [512.871976852417, 695.8249759674072]]"
4,"[[834.7739206949868, 633.7041807174683], [841.8116064071655, 629.4815694093704], [841.8116064071655, 626.6664952039719], [844.6266806920371, 577.4026966094971], [836.1814578374228, 601.3308273553848], [806.6231778462729, 549.2519545555115], [786.9176578521729, 588.6629934310913], [774.2498235702515, 609.7760499715805], [770.0272121429443, 692.820739030838], [777.064897855123, 667.485071182251], [760.1744521458945, 774.4578909873962], [663.0543893178303, 502.80323016643524], [619.4207379023235, 515.4710640907288], [699.6503550211588, 608.3685128688812], [630.6810350418091, 640.7418662309647], [599.7152179082234, 664.6699969768524], [512.4479150772095, 695.6358132362366]]"
5,"[[833.507176399231, 633.8262910842896], [840.517370859782, 628.2181353569031], [840.517370859782, 626.8160964250565], [843.3214486440022, 574.9406559467316], [836.3112541834514, 601.5793956518173], [805.4663985570271, 551.105994105339], [787.2398929595947, 588.9610452651978], [774.621542930603, 608.5895903110504], [770.4154262542725, 692.7119262218475], [776.0235818227131, 670.2793033123016], [760.6011540095012, 774.0301842689514], [661.0563926696777, 506.24074828624725], [618.9952259063721, 518.8590986728668], [700.313481648763, 607.1875513792038], [630.2115370432535, 640.8364857435226], [602.1707592010498, 663.2691086530685], [512.4402701059977, 695.5160040855408]]"
6,"[[834.4131393432617, 633.555721282959], [842.8646955490112, 627.921350479126], [842.8646955490112, 626.5127577781677], [845.6818809509277, 578.6206059455872], [837.2303247451782, 601.1580891609192], [807.6498780250549, 550.4487519264221], [786.5209875106812, 588.4807548522949], [775.2522459030151, 611.018238067627], [771.0264678001404, 694.1252074241638], [779.4780240058899, 668.7705388069153], [759.7577261924744, 774.4149913787842], [663.9734225273132, 502.55660009384155], [618.8984560966492, 513.8253417015076], [700.5968327522278, 608.2010526657104], [631.5757904052734, 640.5986847877502], [599.1781582832336, 663.1361680030823], [513.2540035247803, 695.5338001251221]]"
7,"[[833.1963267326355, 633.8985757827759], [840.2250105539958, 628.275628566742], [841.6307473182678, 626.8698917627335], [844.442220846812, 577.6691036224365], [836.0078002611797, 602.9723660945892], [806.4873282114665, 549.5543675422668], [786.8070135116577, 588.9149980545044], [774.1553826332092, 610.0010501146317], [769.9381723403931, 692.9395215511322], [778.3725929260254, 669.041995882988], [760.0980149904888, 774.4722561836243], [663.1021782557169, 503.1650530099869], [619.5243385632833, 515.8166842460632], [701.0570708910625, 608.5953133106232], [630.7702326774597, 640.9272598028183], [599.8440238634745, 663.419048666954], [512.6883444786072, 695.7509951591492]]"
8,"[[833.5444121360779, 634.1662302017212], [840.5381437937419, 629.9699910879135], [840.5381437937419, 627.1724983453751], [841.9368901252747, 578.2163753509521], [834.9431584676106, 603.3938100337982], [805.5694855054219, 550.2414479255676], [787.3857831954956, 589.406346321106], [774.7970662117004, 606.1913027763367], [770.600827217102, 692.9135777950287], [776.1958125432332, 666.3373967409134], [760.8096028963726, 774.0408673286438], [661.498613357544, 508.27905678749084], [618.1374770800272, 519.4690277576447], [700.6635106404622, 607.5900491476059], [630.7261940638224, 641.1599620580673], [601.3525211016337, 664.9386503696442], [513.2315022150675, 695.7110705375671]]"
9,"[[833.273720741272, 633.0660715103149], [840.2850151062012, 628.8592948913574], [841.687273979187, 627.4570360183716], [843.0895328521729, 576.9757165908813], [836.0782384872437, 602.2163763046265], [806.630802154541, 548.9305391311646], [786.9991779327393, 589.5960464477539], [775.7811069488525, 606.423152923584], [770.1720714569092, 693.363203048706], [779.9878835678101, 669.5248022079468], [760.3562593460083, 773.2919588088989], [662.1981382369995, 504.0582551956177], [618.7281131744385, 516.6785850524902], [701.461386680603, 607.8254117965698], [631.348443031311, 640.0773658752441], [600.4987478256226, 666.7202844619751], [513.5586977005005, 694.7654619216919]]"
