video_id,angles_left_leg_up,angles_right_leg_up,angles_core_decline,angles_left_knee,angles_right_knee,knee_left_leftright,knee_left_updown,knee_right_leftright,knee_right_updown,ankle_left_leftright,ankle_left_updown,ankle_right_leftright,ankle_right_updown,hip_left_leftright,hip_left_updown,hip_right_leftright,hip_right_updown,wrist_left_leftright,wrist_left_updown,wrist_right_leftright,wrist_right_updown
kor20230902m00001_20230902_001,13.81,-23.36,74.44,136.91,158.37,669.3923950195312,814.2661743164062,579.7407836914062,830.0157470703125,624.5665893554688,894.2257080078125,507.0502624511719,902.706298828125,651.2197875976562,740.3641357421875,622.1435546875,731.8836059570312,705.7376708984375,682.2117309570312,760.2555541992188,925.7249145507812
kor20230902m00001_20230902_001,12.74,-23.12,74.19,138.3,157.64,668.5116577148438,814.5208129882812,580.2229614257812,830.243408203125,624.9720458984375,893.1339721679688,506.447509765625,902.8094482421875,651.57958984375,739.535888671875,622.5531616210938,731.0698852539062,706.0040893554688,681.4830932617188,760.4286499023438,925.7886962890625
kor20230902m00001_20230902_001,13.81,-23.96,74.68,136.54,158.48,669.2328491210938,814.3696899414062,579.7343139648438,830.0924072265625,624.4835815429688,892.9832153320312,507.16796875,901.4493408203125,651.0912475585938,740.5938720703125,623.274169921875,732.1278076171875,705.5160522460938,682.540771484375,761.1502685546875,926.8475341796875
kor20230902m00001_20230902_001,13.81,-23.96,74.44,136.54,158.48,669.2284545898438,814.4844360351562,579.757080078125,830.202392578125,624.4927368164062,893.0741577148438,506.00360107421875,902.7467651367188,651.0923461914062,740.73095703125,623.28369140625,732.2674560546875,706.709716796875,681.4863891601562,761.1180419921875,926.92822265625
kor20230902m00001_20230902_001,12.74,-23.12,73.81,137.63,157.16,669.2188720703125,814.5399169921875,580.6262817382812,830.3167114257812,624.3157958984375,893.4237670898438,506.5968322753906,901.9189453125,652.228515625,739.296875,623.1021728515625,730.8016967773438,705.6268310546875,682.2578125,760.2387084960938,926.19091796875
kor20230902m00001_20230902_001,12.74,-23.12,73.81,137.63,157.64,669.3076782226562,814.4583129882812,580.7311401367188,830.2322387695312,624.4127197265625,893.3278198242188,506.715087890625,903.0348510742188,652.3203735351562,739.2289428710938,623.1993408203125,730.7352905273438,705.708984375,682.2001953125,760.3109741210938,926.0890502929688
kor20230902m00001_20230902_001,12.74,-23.12,73.57,137.63,157.64,669.2570190429688,814.4464111328125,580.6499633789062,830.2257080078125,624.3466186523438,893.3431396484375,506.6083984375,903.053466796875,652.263916015625,739.1910400390625,623.1328125,730.6944580078125,705.6708984375,682.1426391601562,760.291748046875,926.1156005859375
kor20230902m00001_20230902_001,11.48,-23.71,73.42,138.87,157.76,669.5682373046875,814.4895629882812,580.8613891601562,830.2866821289062,624.6072387695312,893.4751586914062,505.5212707519531,903.1964721679688,653.7711181640625,736.7191772460938,624.6072387695312,730.6433715820312,706.0231323242188,682.036865234375,760.7054443359375,926.2845458984375
kor20230902m00001_20230902_001,11.3,-23.12,73.42,138.66,157.18,669.6575927734375,815.7348022460938,580.8828125,830.3279418945312,624.6621704101562,893.5648193359375,505.4850158691406,903.2935180664062,653.848388671875,736.6887817382812,623.446044921875,730.6082763671875,704.92431640625,681.9645385742188,760.8646240234375,925.1832275390625
kor20230902m00001_20230902_001,12.34,-23.96,74.16,136.96,158.0,669.769775390625,816.0191040039062,579.75537109375,830.6160278320312,623.546142578125,893.8694458007812,505.55426025390625,902.38427734375,652.7400512695312,738.1687622070312,623.546142578125,732.0867309570312,705.0457153320312,682.2138671875,761.0006103515625,925.49609375
kor20230902m00001_20230902_001,11.3,-23.71,73.6,138.66,157.74,669.16943359375,816.0620727539062,580.436279296875,830.6483764648438,624.195068359375,893.8555908203125,506.2893371582031,902.3642578125,653.3676147460938,737.0531005859375,624.195068359375,730.9754638671875,705.6351318359375,682.3545532226562,761.5491943359375,925.4591674804688
kor20230902m00001_20230902_001,11.3,-23.71,73.35,138.66,157.74,669.2896118164062,816.0537719726562,580.6097412109375,830.6312866210938,624.34228515625,893.800537109375,506.50738525390625,902.3040771484375,653.497314453125,737.09228515625,624.34228515625,731.018310546875,705.7333984375,682.4265747070312,760.3991088867188,925.3851318359375
kor20230902m00001_20230902_001,11.48,-23.71,73.67,138.49,158.23,669.049560546875,815.6942138671875,580.3279418945312,830.278564453125,624.0810546875,893.4775390625,506.190673828125,903.200439453125,653.2498168945312,737.9108276367188,624.0810546875,730.61865234375,704.295166015625,682.0040283203125,760.2019653320312,926.2924194335938
kor20230902m00001_20230902_001,11.48,-23.12,74.23,138.49,157.16,669.0330810546875,815.5462646484375,580.355712890625,831.338134765625,624.0870361328125,893.290771484375,506.2554626464844,903.0088500976562,653.2412109375,737.8017578125,622.8722534179688,731.7279663085938,704.2610473632812,681.9228515625,760.1399536132812,926.0892333984375
kor20230902m00001_20230902_001,11.48,-23.12,74.23,138.49,157.16,668.9945678710938,815.4843139648438,580.2926025390625,831.2805786132812,624.0360107421875,893.2504272460938,506.1717529296875,902.97119140625,653.1983032226562,737.7182006835938,622.8209228515625,731.6427612304688,704.2323608398438,681.8238525390625,760.126708984375,926.0580444335938
kor20230902m00001_20230902_001,12.53,-23.36,74.06,137.83,157.9,668.8756103515625,815.7069091796875,580.5486450195312,830.2263793945312,624.1071166992188,894.3541870117188,506.7411804199219,902.8239135742188,651.9361572265625,739.4794921875,622.8971557617188,732.2197875976562,705.17431640625,682.6114501953125,760.8324584960938,925.8131103515625
kor20230902m00001_20230902_001,13.59,-23.36,74.19,137.12,157.9,668.8773803710938,814.6603393554688,580.5821533203125,830.3840942382812,624.125,894.4888305664062,506.8012390136719,902.9555053710938,650.7344970703125,739.6698608398438,622.9154663085938,732.4127197265625,705.1630859375,682.822265625,760.8011474609375,925.9364624023438
kor20230902m00001_20230902_001,13.59,-23.12,73.95,137.12,157.16,668.9553833007812,814.7433471679688,580.5994262695312,830.4779663085938,624.1722412109375,894.6267700195312,506.76776123046875,901.888916015625,650.800048828125,739.7012939453125,622.9619140625,731.2288208007812,705.2660522460938,682.8145751953125,760.9423828125,926.0960693359375
kor20230902m00001_20230902_001,12.74,-23.12,73.81,138.0,157.16,668.953125,814.7108764648438,580.5689086914062,830.4505004882812,624.1556396484375,894.6198120117188,506.71368408203125,901.88427734375,652.002685546875,739.6448364257812,622.9448852539062,731.169677734375,705.2753295898438,682.739990234375,760.969482421875,926.09912109375
kor20230902m00001_20230902_001,13.59,-23.36,74.37,136.75,157.9,668.9025268554688,814.6666870117188,580.5984497070312,830.3920288085938,624.1456909179688,893.2935791015625,506.8101501464844,902.970703125,650.7578125,739.668701171875,622.93603515625,732.4108276367188,705.1918334960938,682.8154296875,760.8355102539062,925.9539794921875
kor20230902m00001_20230902_001,12.53,-23.36,74.12,137.83,157.9,668.6488037109375,815.7776489257812,580.27490234375,830.3048706054688,623.8565673828125,894.466796875,506.42822265625,902.9409790039062,651.700439453125,739.509765625,622.64599609375,732.2461547851562,703.7562866210938,682.6115112304688,760.654541015625,925.9424438476562
kor20230902m00001_20230902_001,13.59,-23.36,74.37,136.09,157.9,669.6495971679688,815.6193237304688,580.0166625976562,830.1543579101562,623.6218872070312,894.3509521484375,506.1300354003906,902.8297119140625,651.480712890625,740.5214233398438,622.4105834960938,732.0426635742188,704.7760009765625,682.3811645507812,760.4937744140625,925.8435668945312
kor20230902m00001_20230902_001,12.53,-23.96,74.23,137.16,158.48,669.5513305664062,815.76708984375,579.90869140625,830.3037719726562,623.5186157226562,894.5072631835938,507.2254333496094,901.7755737304688,652.5919189453125,739.44970703125,623.5186157226562,732.181396484375,704.6815795898438,682.5145263671875,760.4053955078125,926.0033569335938
kor20230902m00001_20230902_001,12.53,-23.36,74.3,137.16,157.41,669.6038818359375,815.87890625,580.0066528320312,830.408203125,623.5945434570312,894.5791625976562,506.1495056152344,901.8438110351562,652.653076171875,739.6001586914062,622.3837280273438,732.3355712890625,704.7163696289062,682.69384765625,760.4119262695312,926.0592651367188
kor20230902m00001_20230902_001,12.34,-23.96,73.98,137.35,158.0,669.5335693359375,816.0062255859375,579.8419799804688,830.55078125,623.4757080078125,894.7893676757812,505.906982421875,902.0616455078125,652.5648803710938,738.4351196289062,623.4757080078125,732.3748779296875,704.6829833984375,682.6808471679688,760.4371948242188,926.3026123046875
kor20230902m00001_20230902_001,12.34,-23.71,73.74,137.35,158.23,669.6873779296875,816.1592407226562,580.1040649414062,830.6862182617188,623.6851196289062,894.8472290039062,506.2583923339844,903.3213500976562,652.7391967773438,738.6817626953125,623.6851196289062,731.4182739257812,703.583740234375,682.994873046875,760.4812622070312,926.3224487304688
kor20230902m00001_20230902_001,11.48,-23.71,73.91,138.21,158.23,669.6359252929688,816.0695190429688,580.0262451171875,830.600830078125,623.6201171875,894.78076171875,506.1587829589844,903.25732421875,653.8936767578125,738.5692749023438,623.6201171875,731.3036499023438,703.542236328125,682.865966796875,760.45654296875,926.2651977539062
kor20230902m00001_20230902_001,11.48,-24.29,73.84,138.21,158.81,669.45703125,816.0173950195312,579.7342529296875,830.5670776367188,623.3831787109375,894.8280029296875,505.7735595703125,903.3152465820312,653.6948852539062,738.4193115234375,624.5956420898438,731.14453125,704.61865234375,683.858154296875,760.3922729492188,926.3521728515625
kor20230902m00001_20230902_001,11.48,-23.71,73.91,138.21,157.28,669.2243041992188,816.0052490234375,580.6984252929688,830.5574340820312,623.142333984375,894.8296508789062,505.51202392578125,902.1057739257812,653.4594116210938,738.3934936523438,624.35498046875,731.1173706054688,704.39208984375,683.82275390625,760.175537109375,926.3594360351562
kor20230902m00001_20230902_001,10.61,-23.71,73.6,139.73,157.74,669.0193481445312,815.869384765625,580.44287109375,830.4298706054688,624.1243896484375,894.7388305664062,506.4269104003906,902.0191040039062,654.4588012695312,738.2133178710938,624.1243896484375,730.9330444335938,704.2072143554688,683.6113891601562,760.0225219726562,926.28662109375
kor20230902m00001_20230902_001,11.65,-23.12,74.3,138.69,157.16,668.4849243164062,815.5111694335938,580.0090942382812,831.2671508789062,623.6409912109375,894.291015625,506.0772705078125,902.7749633789062,652.7289428710938,739.1553344726562,622.4290161132812,731.8833618164062,704.8448486328125,683.4034423828125,760.5967407226562,925.8029174804688
kor20230902m00001_20230902_001,12.74,-22.76,74.61,137.24,157.29,669.3216552734375,815.490478515625,580.7685546875,830.0471801757812,624.4385986328125,893.1260986328125,506.77215576171875,902.8305053710938,652.3388671875,740.281005859375,622.0125122070312,731.7896118164062,704.5003051757812,683.267333984375,760.3009033203125,925.8786010742188
kor20230902m00001_20230902_001,12.74,-23.36,74.61,137.24,157.9,669.3698120117188,815.5206298828125,579.6975708007812,830.0620727539062,624.53369140625,893.0750122070312,505.77850341796875,902.7693481445312,652.40478515625,740.3897705078125,622.110107421875,731.9072875976562,704.5116577148438,683.4357299804688,760.25390625,925.7932739257812
kor20230902m00001_20230902_001,13.59,-23.36,74.61,135.7,157.41,669.7376098632812,815.6995239257812,580.0995483398438,830.2354125976562,623.707275390625,893.224365234375,506.20867919921875,901.70361328125,651.5677490234375,740.5973510742188,622.4959106445312,732.1180419921875,704.8660888671875,683.6650390625,760.5870361328125,925.93017578125
kor20230902m00001_20230902_001,11.65,-23.96,74.41,137.64,158.0,669.5958251953125,815.9151611328125,579.7582397460938,830.4833984375,623.4630126953125,893.6124877929688,505.7029113769531,902.1106567382812,653.8135375976562,739.4317626953125,623.4630126953125,732.1476440429688,704.8024291992188,683.5867919921875,760.6473999023438,926.39111328125
kor20230902m00001_20230902_001,11.65,-23.71,74.48,138.03,157.74,669.5822143554688,815.3656616210938,580.061279296875,831.0923461914062,623.6119995117188,893.9989013671875,506.2670593261719,902.4671020507812,653.8555297851562,739.1519775390625,623.6119995117188,731.8934936523438,704.6647338867188,683.5038452148438,760.3128051757812,925.4521484375
kor20230902m00001_20230902_001,12.34,-23.36,74.37,136.96,157.43,669.267822265625,816.6680908203125,580.9644165039062,829.9740600585938,623.3016357421875,894.0847778320312,505.9669494628906,902.55224609375,652.3329467773438,739.2513427734375,623.3016357421875,731.9935302734375,704.3472900390625,683.6080932617188,759.9905395507812,925.5353393554688
kor20230902m00001_20230902_001,12.53,-23.36,74.3,136.77,157.43,670.1670532226562,816.5048217773438,580.6287231445312,829.8145751953125,624.1878662109375,893.943359375,505.610107421875,902.4132080078125,653.2273559570312,740.2762451171875,622.9779052734375,731.806396484375,705.25634765625,683.4073486328125,760.9153442382812,925.4027709960938
kor20230902m00001_20230902_001,11.48,-23.36,74.06,138.09,157.43,668.95166015625,816.7440185546875,580.47119140625,830.07666015625,624.1054077148438,893.1038208007812,505.32342529296875,902.80029296875,653.19482421875,739.172119140625,622.893310546875,731.8997192382812,705.3134765625,683.4172973632812,761.0682373046875,925.8294677734375
kor20230902m00001_20230902_001,10.61,-23.12,73.67,139.35,156.72,668.845703125,815.7743530273438,581.4461059570312,830.3409423828125,623.9320678710938,893.462890625,504.9714660644531,903.1739501953125,654.2791137695312,738.0858154296875,623.9320678710938,730.802490234375,705.26220703125,683.4610595703125,759.886962890625,925.0238647460938
kor20230902m00001_20230902_001,12.53,-23.36,74.06,136.77,156.96,669.820068359375,815.6664428710938,581.2703247070312,830.2225341796875,623.7256469726562,893.299072265625,506.0636901855469,901.7901611328125,652.837890625,739.246826171875,623.7256469726562,731.96875,704.997314453125,683.4483642578125,760.7957763671875,926.0503540039062
kor20230902m00001_20230902_001,12.74,-23.36,74.3,136.58,156.96,669.6356201171875,815.4720458984375,581.16845703125,830.0145874023438,623.584228515625,893.0323486328125,506.0319519042969,901.5155029296875,652.6693115234375,740.3355712890625,623.584228515625,731.8524169921875,704.7801513671875,683.3772583007812,760.5265502929688,925.7530517578125
kor20230902m00001_20230902_001,11.65,-22.76,74.37,137.92,156.82,668.68701171875,816.60302734375,581.5140991210938,829.9210815429688,623.8898315429688,892.8793334960938,506.44854736328125,902.565185546875,652.9474487304688,740.3267211914062,622.6790771484375,731.8515625,705.0090942382812,683.4221801757812,759.4921264648438,925.5691528320312
kor20230902m00001_20230902_001,11.65,-23.36,74.61,137.24,156.96,669.1493530273438,816.8084106445312,580.79296875,830.1223754882812,623.1556396484375,893.0612182617188,505.7505187988281,901.5337524414062,653.4146728515625,740.5556640625,623.1556396484375,732.0831298828125,704.2498779296875,683.6686401367188,759.926513671875,924.5306396484375
kor20230902m00001_20230902_001,11.48,-23.36,74.12,137.42,156.96,669.1385498046875,816.794921875,580.7757568359375,830.10986328125,623.1414794921875,893.05322265625,505.7279357910156,901.5263671875,653.4027099609375,739.326171875,623.1414794921875,732.0634765625,704.2415771484375,683.6455688476562,759.9222412109375,924.5248413085938
kor20230902m00001_20230902_001,10.8,-23.36,74.34,137.86,156.49,670.1808471679688,815.9298706054688,581.4457397460938,830.5164184570312,622.7744140625,893.7249755859375,504.8661804199219,902.2338256835938,655.59423828125,739.3502807617188,623.989990234375,732.0570068359375,705.4317626953125,683.4349975585938,760.1314086914062,925.3292236328125
kor20230902m00001_20230902_001,11.65,-23.12,74.41,137.64,155.74,670.1749267578125,816.0101928710938,581.5278930664062,831.7966918945312,624.0299072265625,893.7281494140625,505.0242614746094,902.2285766601562,654.3884887695312,739.506591796875,624.0299072265625,732.2205200195312,704.176513671875,683.6468505859375,760.0363159179688,925.3010864257812
kor20230902m00001_20230902_001,12.53,-22.53,74.48,136.11,154.7,671.100830078125,816.1961059570312,582.4398193359375,831.9850463867188,623.7340087890625,893.9263305664062,504.7095947265625,902.4280395507812,654.0973510742188,739.680419921875,623.7340087890625,732.3931884765625,703.893310546875,683.8118286132812,759.7619018554688,925.5042114257812
kor20230902m00001_20230902_001,14.47,-21.55,75.59,132.7,153.24,672.2222290039062,816.8057250976562,583.561279296875,832.5946655273438,623.640869140625,892.1068115234375,505.8311462402344,901.8230590820312,652.7896728515625,741.504638671875,622.4263305664062,734.2174072265625,702.5855712890625,684.4215698242188,759.6686401367188,924.899169921875
kor20230902m00001_20230902_001,14.05,-21.69,74.68,133.13,152.94,673.1617431640625,817.900634765625,583.5574340820312,833.6419067382812,624.7269897460938,892.9744873046875,504.8509521484375,902.6614379882812,653.787841796875,740.4049682617188,623.51611328125,733.1397705078125,702.22265625,684.7050170898438,760.3443603515625,925.66796875
