0,"[[835.7288208007812, 820.99609375], [845.5222778320312, 819.7719116210938], [843.0739135742188, 817.3235473632812], [846.7464599609375, 781.8222045898438], [844.298095703125, 795.2882080078125], [818.5902709960938, 720.6130981445312], [803.9000854492188, 781.8222045898438], [800.2275390625, 647.162109375], [803.9000854492188, 857.7215576171875], [783.0889892578125, 579.8320922851562], [795.330810546875, 922.6032104492188], [687.6027221679688, 718.1647338867188], [652.1014404296875, 735.3032836914062], [734.1216430664062, 785.4947509765625], [663.1190795898438, 855.273193359375], [666.7916259765625, 858.9457397460938], [554.1668090820312, 880.9810180664062]]"
1,"[[834.8536987304688, 820.9893798828125], [843.2941284179688, 818.5778198242188], [842.08837890625, 817.3720703125], [845.7057495117188, 779.9928588867188], [842.08837890625, 794.4622192382812], [817.9727783203125, 718.498046875], [803.50341796875, 782.4044189453125], [801.0918579101562, 648.5628051757812], [804.7091674804688, 858.3685913085938], [783.005126953125, 581.0390625], [795.0629272460938, 922.2749633789062], [686.5426635742188, 724.5269775390625], [652.7808227539062, 737.79052734375], [734.77392578125, 786.0217895507812], [662.4270629882812, 854.7512817382812], [666.04443359375, 860.7801513671875], [555.1126098632812, 880.0726318359375]]"
2,"[[833.8350219726562, 816.8765869140625], [843.7662963867188, 816.8765869140625], [843.7662963867188, 814.393798828125], [846.2490844726562, 782.1172485351562], [843.7662963867188, 792.0484619140625], [817.6967163085938, 720.046875], [804.041259765625, 782.1172485351562], [800.3170166015625, 646.8038940429688], [804.041259765625, 859.0844116210938], [784.1787719726562, 581.0093383789062], [795.3514404296875, 922.3961791992188], [683.6248168945312, 723.7711181640625], [651.3482666015625, 737.4265747070312], [735.763916015625, 785.8414306640625], [661.2794799804688, 854.1187744140625], [666.2451171875, 859.0844116210938], [555.7599487304688, 881.4297485351562]]"
3,"[[833.736328125, 816.796630859375], [843.6690673828125, 816.796630859375], [843.6690673828125, 814.3134155273438], [846.1522216796875, 782.0321044921875], [843.6690673828125, 791.96484375], [817.5956420898438, 719.9525756835938], [803.9381713867188, 782.0321044921875], [800.21337890625, 646.69873046875], [803.9381713867188, 859.0106811523438], [784.07275390625, 580.8944702148438], [795.2470703125, 922.331787109375], [684.7454833984375, 724.9189453125], [651.2225341796875, 737.3348388671875], [734.4091186523438, 785.7568969726562], [659.9136962890625, 854.0443115234375], [667.3632202148438, 857.7691040039062], [555.6201171875, 881.3593139648438]]"
4,"[[835.0069580078125, 817.0435180664062], [844.9751586914062, 817.0435180664062], [844.9751586914062, 814.551513671875], [846.22119140625, 780.908935546875], [844.9751586914062, 792.1231079101562], [817.5626831054688, 719.8538818359375], [805.1024780273438, 783.4010009765625], [800.118408203125, 647.584716796875], [803.8564453125, 860.654296875], [783.9201049804688, 581.5455932617188], [795.13427734375, 922.955322265625], [684.2384643554688, 724.8380126953125], [651.8419189453125, 738.5442504882812], [735.3253173828125, 784.64697265625], [660.5640258789062, 853.1781616210938], [668.0401611328125, 858.1622314453125], [554.6522827148438, 881.8366088867188]]"
5,"[[834.7991943359375, 819.5540771484375], [843.405029296875, 818.32470703125], [843.405029296875, 815.8658447265625], [847.09326171875, 782.6719360351562], [843.405029296875, 793.736572265625], [817.5875244140625, 718.7427978515625], [804.0640258789062, 782.6719360351562], [800.3757934570312, 647.437255859375], [802.8345947265625, 857.6656494140625], [783.1641235351562, 579.8198852539062], [795.4581909179688, 922.82421875], [687.2704467773438, 722.4310302734375], [652.8471069335938, 735.9544677734375], [735.21728515625, 785.1307373046875], [661.4529418945312, 853.9774780273438], [667.5999755859375, 857.6656494140625], [554.4945678710938, 881.0244140625]]"
6,"[[834.3446044921875, 819.5656127929688], [844.0244140625, 818.3556518554688], [842.814453125, 815.9356689453125], [846.4443969726562, 780.84619140625], [842.814453125, 794.156005859375], [817.4048461914062, 717.9270629882812], [804.0950317382812, 783.26611328125], [799.2550659179688, 646.5380859375], [802.885009765625, 857.0750732421875], [782.3153076171875, 578.779052734375], [794.4151611328125, 922.4141235351562], [686.7266845703125, 722.7670288085938], [652.84716796875, 737.2868041992188], [735.1259765625, 785.6860961914062], [660.1070556640625, 853.4451293945312], [666.156982421875, 859.4950561523438], [552.4186401367188, 881.2747192382812]]"
7,"[[833.509033203125, 819.643798828125], [843.0845336914062, 817.2499389648438], [840.690673828125, 814.8560791015625], [845.4783935546875, 780.14501953125], [841.8875732421875, 793.311279296875], [816.7520141601562, 716.7075805664062], [803.585693359375, 782.5388793945312], [799.9949340820312, 646.0885009765625], [803.585693359375, 857.9456787109375], [783.2378540039062, 579.0602416992188], [795.2071533203125, 921.3831787109375], [685.0892944335938, 726.2830200195312], [652.7720947265625, 738.2523803710938], [736.5574340820312, 783.73583984375], [659.9537353515625, 853.157958984375], [668.3322143554688, 860.3395385742188], [552.2296752929688, 880.6874389648438]]"
8,"[[835.5096435546875, 818.3453369140625], [843.9868774414062, 817.1343383789062], [842.7758178710938, 815.9232788085938], [846.408935546875, 780.8034057617188], [842.7758178710938, 794.124755859375], [817.3441772460938, 717.829833984375], [804.0228881835938, 782.0144653320312], [799.1787719726562, 646.3790283203125], [804.0228881835938, 857.0983276367188], [782.2243041992188, 579.7723388671875], [795.545654296875, 922.4939575195312], [685.3418579101562, 722.6739501953125], [652.64404296875, 735.9953002929688], [734.994140625, 786.8585815429688], [659.9102172851562, 852.2542114257812], [665.9653930664062, 858.3093872070312], [552.1285400390625, 881.3189697265625]]"
9,"[[834.6016235351562, 819.470458984375], [843.0535278320312, 818.2630615234375], [841.8461303710938, 815.8482666015625], [845.4683227539062, 780.8333740234375], [843.0535278320312, 792.907470703125], [817.6978759765625, 718.0480346679688], [803.208984375, 780.8333740234375], [799.5867309570312, 646.810791015625], [803.208984375, 856.9002075195312], [782.6829833984375, 579.1958618164062], [794.757080078125, 922.100341796875], [686.0902099609375, 725.29248046875], [652.28271484375, 737.3665771484375], [734.3865966796875, 786.8704223632812], [660.7345581054688, 853.2779541015625], [665.564208984375, 858.1076049804688], [552.0676879882812, 881.0484008789062]]"
